# ELENCOS REAIS — fonte enviada pelo dono do jogo em 23/09/2026.
#
# Formato de cada linha:  Nome | Posição | dd/mm/aaaa (idade) | Nacionalidades | Valor
# Linha que começa com "# CLUBE:" abre o elenco de um clube.
#
# O clube entre parênteses no nome do jogador é o clube DE ORIGEM de quem está
# emprestado — o jogador conta pro elenco do bloco, não pro clube do parêntese.
#
# Este arquivo é a fonte; games/core/fut_importar.php vira elenco do jogo.

# CLUBE: Flamengo
Jean Lucas | Meia Central | 22/06/1998 (28) | Brasil | € 13.00 mi.
Rodrigo Nestor | Meia Central | 09/08/2000 (26) | Brasil | € 7.00 mi.
Everton Ribeiro | Meia Ofensivo | 10/04/1989 (37) | Brasil | € 1.00 mi.
Roger Gabriel | Meia Ofensivo | 12/02/2007 (19) | Brasil | -
Erick Pulga | Ponta Esquerda | 02/10/2000 (25) | Brasil | € 11.00 mi.
Ruan Pablo | Ponta Esquerda | 23/07/2008 (18) | Brasil | € 8.00 mi.
Mateo Sanabria | Ponta Esquerda | 31/03/2004 (22) | Argentina | € 2.00 mi.
Cristian Olivera | Ponta Direita | 17/04/2002 (24) | Uruguai | € 5.00 mi.
Michel Araújo | Ponta Direita | 28/09/1996 (29) | Uruguai | € 2.50 mi.
Kauê Furquim | Ponta Direita | 27/02/2009 (17) | Brasil | € 2.50 mi.
Ademir | Ponta Direita | 16/02/1995 (31) | Brasil | € 1.20 mi.
Alejo Veliz | Centroavante | 19/09/2003 (23) | Argentina | € 4.00 mi.
Dell | Centroavante | 09/06/2008 (18) | Brasil | € 4.00 mi.
Willian José | Centroavante | 23/11/1991 (34) | Brasil | € 1.20 mi.
Everaldo | Centroavante | 05/07/1991 (35) | Brasil | € 350 mil

# CLUBE: Santos
Gabriel Brazão | Goleiro | 05/10/2000 (25) | Brasil | € 12.00 mi.
João Paulo | Goleiro | 29/06/1995 (31) | Brasil | € 2.00 mi.
Diógenes | Goleiro | 06/01/2001 (25) | Brasil | € 200 mil
João Fernandes | Goleiro | 25/05/2004 (22) | Brasil | -
Rodrigo Falcão | Goleiro | 23/03/2005 (21) | Brasil | -
Lucas Veríssimo | Zagueiro | 02/07/1995 (31) | Brasil | € 4.50 mi.
Alexis Duarte | Zagueiro | 12/03/2000 (26) | Paraguai | € 1.80 mi.
Luan Peres | Zagueiro | 19/07/1994 (32) | Brasil | € 700 mil
João Ananias | Zagueiro | 12/02/2007 (19) | Brasil | € 500 mil
João Alencar | Zagueiro | 25/06/2007 (19) | Brasil | -
Vinicius Lira | Lateral Esq. | 12/10/2007 (18) | Brasil | € 4.00 mi.
Gonzalo Escobar | Lateral Esq. | 16/03/1997 (29) | Argentina | € 800 mil
Gabriel Menino | Lateral Dir. | 29/09/2000 (25) | Brasil | € 7.00 mi.
Igor Vinícius | Lateral Dir. | 01/04/1997 (29) | Brasil | € 2.00 mi.
Rodinei | Lateral Dir. | 29/01/1992 (34) | Brasil | € 800 mil
Arthur Melo | Volante | 12/08/1996 (30) | Brasil | € 4.00 mi.
Christian Oliva | Volante | 01/06/1996 (30) | Uruguai | € 1.40 mi.
Willian Arão | Volante | 12/03/1992 (34) | Brasil | € 800 mil
João Schmidt | Volante | 19/05/1993 (33) | Brasil | € 700 mil
Gustavinho | Volante | 07/04/2005 (21) | Brasil | € 500 mil
Gabriel Bontempo | Meia Central | 16/01/2005 (21) | Brasil | € 9.00 mi.
Neymar | Meia Ofensivo | 05/02/1992 (34) | Brasil | € 8.00 mi.
Miguelito | Meia Ofensivo | 25/04/2004 (22) | Bolívia | € 5.00 mi.
Philippe Coutinho | Meia Ofensivo | 12/06/1992 (34) | Brasil | € 2.50 mi.
Lima | Meia Ofensivo | 11/06/1996 (30) | Brasil | € 2.00 mi.
Thaciano | Meia Ofensivo | 12/05/1995 (31) | Brasil | € 1.00 mi.
Pepê Fermino | Meia Ofensivo | 12/02/2007 (19) | Brasil | -
Everton | Ponta Esquerda | 22/03/1996 (30) | Brasil | € 7.00 mi.
Álvaro Barreal | Ponta Esquerda | 17/08/2000 (26) | Argentina | € 7.00 mi.
Moisés | Ponta Esquerda | 02/09/1996 (30) | Brasil | € 2.00 mi.
Gustavo Caballero | Ponta Esquerda | 21/09/2001 (25) | Paraguai | € 1.00 mi.
Mateus Xavier | Ponta Esquerda | 29/06/2007 (19) | Brasil | € 400 mil
Benjamín Rollheiser | Ponta Direita | 24/03/2000 (26) | Argentina | € 9.00 mi.
Andrey Quintino | Ponta Direita | 05/08/2002 (24) | Brasil | -
Enzo Boer | Ponta Direita | 06/01/2005 (21) | Brasil | -
Rony | Centroavante | 11/05/1995 (31) | Brasil | € 4.50 mi.
Gabriel Barbosa | Centroavante | 30/08/1996 (30) | Brasil | € 3.00 mi.

# CLUBE: RB Bragantino
Cleiton | Goleiro | 19/08/1997 (29) | Brasil | € 5.00 mi.
Tiago Volpi | Goleiro | 19/12/1990 (35) | Brasil | € 900 mil
Fabrício | Goleiro | 15/06/2000 (26) | Brasil | € 100 mil
Gustavo Reis | Goleiro | 10/06/2005 (21) | Brasil | -
Gustavo Marques | Zagueiro | 09/10/2001 (24) | Brasil | € 5.00 mi.
Guzmán Rodríguez | Zagueiro | 08/02/2000 (26) | Uruguai | € 3.50 mi.
Alix | Zagueiro | 06/11/1999 (26) | Brasil | € 3.00 mi.
Eduardo | Zagueiro | 28/11/1997 (28) | Brasil | € 750 mil
Juninho Capixaba | Lateral Esq. | 06/07/1997 (29) | Brasil | € 8.00 mi.
Vanderlan | Lateral Esq. | 07/09/2002 (24) | Brasil | € 3.00 mi.
Cauê Nascimento | Lateral Esq. | 13/12/2006 (19) | Brasil | € 500 mil
Agustín Sant'Anna | Lateral Dir. | 27/09/1997 (28) | Uruguai | € 3.50 mi.
José Andrés Hurtado | Lateral Dir. | 23/12/2001 (24) | Equador | € 3.00 mi.
Ryan Augusto | Lateral Dir. | 04/09/2007 (19) | Brasil | € 1.00 mi.
Fabinho | Volante | 09/04/2002 (24) | Brasil | € 5.00 mi.
Patrick | Volante | 19/03/2004 (22) | Brasil | € 1.50 mi.
Matheus Fernandes | Volante | 30/06/1998 (28) | Brasil | € 1.00 mi.
Gabriel | Volante | 10/07/1992 (34) | Brasil | € 900 mil
Ignacio Sosa | Meia Central | 31/08/2003 (23) | Uruguai | € 5.00 mi.
Eric Ramires | Meia Central | 10/08/2000 (26) | Brasil | € 3.50 mi.
Gustavo Neves | Meia Central | 23/04/2004 (22) | Brasil | € 3.50 mi.
Praxedes | Meia Central | 08/02/2002 (24) | Brasil | € 1.20 mi.
Rodriguinho | Meia Ofensivo | 16/03/2004 (22) | Brasil | € 6.00 mi.
Bruninho | Meia Ofensivo | 14/03/2003 (23) | Brasil | € 1.00 mi.
Marcelinho Braz | Meia Ofensivo | 16/08/2004 (22) | Brasil | € 400 mil
Vinicinho | Ponta Esquerda | 20/02/2004 (22) | Brasil | € 3.50 mi.
Henry Mosquera | Ponta Esquerda | 15/11/2001 (24) | Colômbia | € 3.50 mi.
Davi Gomes | Ponta Esquerda | 06/06/2005 (21) | Brasil | € 400 mil
Lucas Barbosa | Ponta Direita | 22/02/2001 (25) | Brasil | € 6.00 mi.
José Herrera | Ponta Direita | 16/04/2003 (23) | Venezuela | € 2.50 mi.
